_id,periodo,ID_SR,denominazione,tipologia,categoria,totale_unita,totale_bagni,totale_letti,indirizzo,frazione,cap,codice_istat_comune,comune,provincia,latitudine,longitudine,telefono,fax,sitoweb,email,periodi,servizi_generali,servizi_camera,prezzo_alta_stagione_o_unica,prezzo_bassa_stagione,foto1,foto2,foto3,foto4,foto5
10,2015,5887,2 MAGGIO,Alberghi,3 stelle,18,18,41,VIA VICINALE DELLA DIFESA  -,SAN GIOVANNI ROTONDO,71013,71046,SAN GIOVANNI ROTONDO,Foggia,41.705748972040084,15.700114383114624,0882457853,0882455770,www.hotelrosamarina.it,info@hotelrosamarina.it,01/01/2015-31/12/2015,Ristorante-Bar-Ascensore-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili,Aria condizionata centralizzata-Rscaldamento centralizzato-Tv-Riscaldamento-Telefono,camera-doppia-bagno (55-70)#camera-singola-bagno (35-55)#camera-tripla-bagno (70-90)#doppia-uso-singola-bagno (35-55)#mezza-pensione-bagno (40-60)#pasto-cena (16-20)#pasto-pranzo (16-20)#pensione-completa-bagno (50-60),camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#camera-tripla-bagno (0-0)#doppia-uso-singola-bagno (0-0)#mezza-pensione-bagno (0-0)#pensione-completa-bagno (0-0),http://www.agenziapugliapromozione.it/portal/documents/ddl/950729/fileFoto1,,,,
11,2015,14988,2 STAR LUXURY ROOM,Bed & breakfast,,2,2,6,CORSO GARIBALDI  47,,76121,110002,BARLETTA,Barletta-Andria-Trani,41.3188748,16.28169700000001,328/9003400,0883333029,,studiofucci@virgilio.it,09/01/2015-31/01/2015#01/04/2015-31/05/2015#01/06/2015-31/10/2015#01/12/2015-31/12/2015,Bagno privato,Aria condizionata indipendente-Riscaldamento indipendente-Tv satellitare-Frigobar-Riscaldamento,camera-tripla-bagno (60-120),camera-tripla-bagno (50-100),http://www.agenziapugliapromozione.it/portal/documents/ddl/1125377/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1125377/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1125377/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1125377/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1125377/fileFoto5
12,2015,8068,2008,Bed & breakfast,,3,2,7,VIA BACHELET  13,,72012,74002,CAROVIGNO,Brindisi,,,3291723392,,,domenicolanzilotti@libero.it,15/04/2015-31/12/2015,Reception 24h,Aria condizionata indipendente-Tv-Riscaldamento,camera-doppia (25-35)#camera-tripla (25-35)#camera-doppia (25-35)#camera-tripla (25-35),camera-doppia (25-35)#camera-tripla (25-35)#camera-doppia (25-35)#camera-tripla (25-35),,,,,
13,2015,14828,29MQ,Affittacamere,,1,1,2,VIA ABIGNENTE  84,,72029,74020,VILLA CASTELLI,Brindisi,40.5826104,17.4754547,3384358648,,,edilizialo@libero.it,01/01/2015-31/12/2015,Reception 24h-Bagno privato,Aria condizionata indipendente-Riscaldamento indipendente-Cassaforte / cassetta di sicurezza-Tv-Frigobar-Riscaldamento-Angolo cottura,camera-doppia-bagno (70-80)#supplemento-posto-letto-agg (20-25)#camera-doppia-bagno (70-80)#supplemento-posto-letto-agg (20-25),camera-doppia-bagno (60-70)#camera-doppia-bagno (60-70),,,,,
14,2015,15579,2F SALENTO,Bed & breakfast,,2,1,6,VIA COSIMO MARIANO  259,,73043,75022,COPERTINO,Lecce,40.275031,18.053628000000003,3490888588,,francescocalasso.wix.com/2fsalentobb,francescocalasso@hotmail.com,15/07/2015-31/12/2015,Reception 24h-Deposito bagagli-Bagno privato-Sala lettura-Somministrazione bevande-Somministrazione alimenti-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento centralizzato-Tv-Frigobar-Riscaldamento-Angolo cottura,camera-tripla (100-130)#doppia-uso-singola (25-55),camera-tripla (75-100),http://www.agenziapugliapromozione.it/portal/documents/ddl/1455337/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1455337/fileFoto2,,,
50,2015,11394,A CORTE BALDUINI,Bed & breakfast,,1,1,4,CORTE DEI BALDUINI  1,,73100,75035,LECCE,Lecce,,,3391496378,,,info@flaviomassari.it,01/03/2015-15/11/2015,Bagno privato,Riscaldamento indipendente-Angolo cottura,camera-quadrupla-bagno (80-110),camera-quadrupla-bagno (0-0),,,,,
1202,2015,11160,CASA PROBO,Bed & breakfast,,3,3,8,,,,75088,TRICASE,Lecce,,,0833/541752,,www.casaprobo.it,info@casaprobo.it,,,,,,,,,,
15,2015,13389,2 FLOOR,Bed & breakfast,,3,6,10,VIA 47 RGT FANTERIA  12,,73100,75035,LECCE,Lecce,,,,,,info@bbmirage.com,01/01/2015-31/12/2015,Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Bagno privato-Somministrazione bevande-Camere / struttura per ospiti Disabili,Aria condizionata indipendente-Riscaldamento centralizzato-Riscaldamento indipendente-Cassaforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-Riscaldamento-Angolo cottura,camera-doppia-bagno (55-75)#camera-quadrupla-bagno (90-120)#camera-quadrupla-bagno-persona (90-120),camera-doppia-bagno (45-55)#camera-quadrupla-bagno (70-90)#camera-quadrupla-bagno-persona (70-90),,,,,
16,2015,13959,4 CAMERE A TRANI,Affittacamere,,4,4,10,PIAZZA TOMASELLI   13,,76125,110009,TRANI,Barletta-Andria-Trani,,,340 5315926,,www.4camereatrani.it,info@4camereatrani.it,01/01/2015-31/12/2015,Reception 24h-Deposito bagagli-Bagno privato-Sala lettura,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento,camera-doppia-bagno (50-80)#camera-tripla-bagno (50-80)#supplemento-posto-letto-agg (15-15),camera-doppia-bagno (0-0)#camera-tripla-bagno (0-0),http://www.agenziapugliapromozione.it/portal/documents/ddl/857952/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/857952/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/857952/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/857952/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/857952/fileFoto5
17,2015,11956,5 STELLE,Campeggi,3 stelle,169,138,700,CONTRADA PAGLIAI DEI COMBATTENTI  snc,,71010,71008,CAGNANO VARANO,Foggia,,,0884917583,,www.camping5stelle.it,info@camping5stelle.it,01/04/2015-30/09/2015,Ristorante-Bar-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia,Angolo cottura,adulti (6-9)#case-mobili (90-190)#piazzola-prezzo (7-16)#ragazzi (4-6)#supplemento-accesso-visitatori (4-9)#supplemento-animali-domestici (5-55)#supplemento-pulizia-bilocale (50-50)#supplemento-pulizia-monolocale (50-50)#supplemento-pulizia-trilocale (50-50)#supplemento-pulizia-ua-mobili (50-50)#supplemento-seconda-auto (4-7)#supplemento-seconda-moto (4-7)#supplemento-tessera-club-adulti (40-40)#supplemento-tessera-club-bambini (30-30)#ua-bilocale (95-180)#ua-monolocale (60-150)#ua-trilocale (110-230),adulti (4-5)#case-mobili (29-60)#piazzola-prezzo (5-11)#ragazzi (3-4)#ua-bilocale (29-95)#ua-monolocale (29-60)#ua-trilocale (40-110),,,,,
18,2015,15719,62 MARINAI,Bed & breakfast,,2,2,7,PIAZZETTA 62 MARINAI  17,,70122,72006,BARI,Bari,41.13111063864164,16.869763576252808,3337708865,,www.62marinai.it,62marinai@gmail.com,28/09/2015-31/12/2015,Bagno privato,Tv-Frigobar-Riscaldamento-Riscaldamento centralizzato-Aria condizionata indipendente,camera-quadrupla-bagno (60-120)#camera-tripla-bagno (60-90),camera-quadrupla-bagno (0-0)#camera-tripla-bagno (0-0),,,,,
19,2015,3453,7  MARI,Alberghi,3 stelle,56,56,143,VIA G. VERDI  60,,70123,72006,BARI,Bari,41.1346444,16.835969999999975,080 5341500,,www.hotel7mari.it,hotel7mari@hotel7mari.it,,Bar-Reception 24h-Ascensore-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Telefono,,,http://www.agenziapugliapromozione.it/portal/documents/ddl/1218564/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1218564/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1218564/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1218564/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1218564/fileFoto5
1419,2015,14765,COPACABANA HOTEL DESIGN,Alberghi,3 stelle,10,10,16,VIA PRINCIPE AMEDEO  1,,76016,110005,MARGHERITA DI SAVOIA,Barletta-Andria-Trani,,,0883655949,,www.copacabanahoteldesign.com,info@copacabanahoteldesign.com,01/01/2015-31/12/2015,Bar-Reception 24h-Camere fumatori-Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia-Camere / struttura per ospiti disabili,Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-Riscaldamento-Telefono,camera-doppia-bagno (70-110)#camera-singola-bagno (50-75),camera-doppia-bagno (50-80)#camera-singola-bagno (40-50),,,,,
21,2015,13568,8 PIU HOTEL,Alberghi,4 stelle,83,83,162,VIALE DEL RISORGIMENTO  -,,73100,75035,LECCE,Lecce,,,0832-306686,,www.8piuhotel.com,infolecce@8piuhotel.com,01/01/2015-31/12/2015,Bar-Punto ristoro-Reception 24h-Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Quotidiani-Camere / struttura per ospiti disabili,Aria condizionata indipendente-Riscaldamento indipendente-Cassaforte / cassetta di sicurezza-Tv-Tv satellitare-Insonorizzazione-Frigobar-Riscaldamento-Telefono,camera-doppia-bagno (205-215)#jr-suite-bagno (235-245),camera-doppia-bagno (205-215)#jr-suite-bagno (235-245),http://www.agenziapugliapromozione.it/portal/documents/ddl/221945/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/221945/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/221945/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/221945/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/221945/fileFoto5
22,2015,12275,A  GALLIPOLI,Bed & breakfast,,2,2,6,VIA MINNITI  3,,73014,75031,GALLIPOLI,Lecce,,,3477299227,,www.bbsalentogrouop.com,leterrazzesulmaregallipoli@gmail.com,01/01/2015-12/01/2015#27/03/2015-28/09/2015#18/12/2015-31/12/2015,Ascensore-Cucina in uso comune-Bagno privato-Somministrazione alimenti-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento centralizzato-Tv-Riscaldamento,camera-doppia-bagno (100-150),camera-doppia-bagno (60-100),http://www.agenziapugliapromozione.it/portal/documents/ddl/891288/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/891288/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/891288/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/891288/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/891288/fileFoto5
23,2015,13965,A 2 PASSI DAL PIZZO,Alberghi,3 stelle,21,21,42,STRADA PROV.LE 215 - KM. 1   -,,73015,75031,GALLIPOLI,Lecce,,,0833-1824188,,www.nuovohotelgallipoli.it,angelo.ria@me.com,01/05/2015-31/10/2015,Bar-Punto ristoro-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Camere / struttura per ospiti disabili,Aria condizionata indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Telefono-Angolo cottura,camera-doppia-bagno (39-199)#pasto-cena (19-24)#pasto-colazione (5-5)#camera-doppia-bagno (39-199)#pasto-cena (19-24)#pasto-colazione (5-5),camera-doppia-bagno (0-0)#camera-doppia-bagno (0-0),,,,,
24,2015,11761,A ABACA,Bed & breakfast,,4,4,8,VIA FELICE CAVALLOTTI   19,,73100,75035,LECCE,Lecce,,,0832-240548,,,fernandamoruso@gmail.com,01/01/2015-10/01/2015#07/03/2015-01/10/2015#02/12/2015-31/12/2015,Camere fumatori-Bagno privato-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar,camera-doppia-bagno (50-80)#camera-doppia-bagno-persona (25-40),camera-doppia-bagno-persona (0-0),,,,,
25,2015,13627,A BORDO PISCINA,Bed & breakfast,,3,1,5,,,,72036,PUTIGNANO,Bari,,,3932211039,,www.abordopiscina.it,adeleanna@virgilio.it,,Sala Tv-Parco / Giardino-Accesso animali piccola taglia,Riscaldamento,,,,,,,
26,2015,15335,A CASA DELLA NONNA UCCIA,Bed & breakfast,,2,2,4,VIA PADRETERNO   41-43,,73048,75052,NARDO',Lecce,40.1767268,18.02968599999997,,,,,06/04/2015-31/12/2015,Camere fumatori-Cucina in uso comune-Bagno privato-Somministrazione alimenti-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento-Angolo cottura,camera-doppia-bagno (60-90),camera-doppia-bagno (30-50),,,,,
2891,2015,13061,LA LOGGIA,Bed & breakfast,,4,2,8,,,,74002,CAROVIGNO,Brindisi,,,,,,leonoragambetti@virgilio.it,,,,,,,,,,
27,2015,13336,A CASA DELLE ZIE,Bed & breakfast,,1,1,3,VIA IMBERTO I  63,,73051,75055,NOVOLI,Lecce,,,3475880059,,,bbacasadellezie@libero.it,,Camere fumatori-Deposito bagagli-Bagno privato-Sala lettura-Parco / Giardino-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili,Riscaldamento indipendente-Tv-Frigobar-Riscaldamento-Angolo cottura,,,,,,,
28,2015,13475,A CASA DI AMICI,Bed & breakfast,,2,2,4,STRADA MADONNA DEL ROSARIO  126,,74015,73013,MARTINA FRANCA,Taranto,40.683854627031224,17.355093936245794,3388858863,0802474390,www.acasadiamici.info,acasadiamici@live.it,03/04/2015-27/12/2015,Cucina in uso comune-Bagno privato-Sala lettura-Parco / Giardino-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili,Riscaldamento centralizzato-Insonorizzazione-Frigobar-Riscaldamento,camera-doppia-bagno-persona (60-60)#doppia-uso-singola (45-90)#camera-doppia-bagno-persona (60-60)#doppia-uso-singola (45-90),camera-doppia-bagno-persona (30-30)#camera-doppia-bagno-persona (30-30),http://www.agenziapugliapromozione.it/portal/documents/ddl/852520/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/852520/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/852520/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/852520/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/852520/fileFoto5
29,2015,11161,A CASA DI DANILO,Bed & breakfast,,3,2,6, VIA MARINA SERRA  19,,73039,75088,TRICASE,Lecce,39.9303324,18.363755099999935,0833/545278,,,daniloconfalonieri@virgilio.it,01/04/2015-26/12/2015,Sala lettura-Somministrazione bevande-Somministrazione alimenti-Accesso animali piccola taglia-Cucina in uso comune-Bagno privato-Sala Tv,Aria condizionata indipendente-Tv-Angolo cottura,camera-doppia (50-70),camera-doppia (0-0),,,,,
30,2015,13560,A CASA DI DONATELLA,Bed & breakfast,,2,2,3,VIA IACOBONE  36 piano 3 int 6,,76012,110004,CANOSA DI PUGLIA,Barletta-Andria-Trani,41.21493,16.08027500000003,,,www.acasadidonatella.it,info@acasadidonatella.it,01/01/2015-14/02/2015#20/03/2015-18/10/2015#21/12/2015-31/12/2015,Ascensore-Bagno privato-Sala Tv,Riscaldamento centralizzato-Tv-Riscaldamento,camera-doppia-bagno (50-70)#camera-singola-bagno (40-55),camera-doppia-bagno (50-70)#camera-singola-bagno (40-55),http://www.agenziapugliapromozione.it/portal/documents/ddl/924443/fileFoto1,,,,
31,2015,14552,A CASA DI ELENA,Bed & breakfast,,2,1,3,VICO GUALDELLA   6,,70044,72035,POLIGNANO A MARE,Bari,,,3202318659,,,acasadielena.info@gmail.com,15/03/2015-15/10/2015,Bagno privato-Sala Tv-Accesso animali piccola taglia,Aria condizionata indipendente-Tv satellitare-Frigobar-Angolo cottura,camera-doppia (90-100)#camera-singola (45-50),camera-doppia (60-70)#camera-singola (30-40),,,,,
32,2015,14601,A CASA DI GAIA,Bed & breakfast,,3,3,7,VIA RICCIOTTO  16,,71018,71059,VICO DEL GARGANO,Foggia,,,338-8931797,,,gaiapiccolo@hotmail.it,01/01/2015-31/12/2015,Deposito bagagli-Bagno privato-Sala lettura-Somministrazione alimenti-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento,camera-doppia-bagno (50-90)#camera-tripla-bagno (50-90),camera-doppia-bagno (50-70)#camera-tripla-bagno (50-70),,,,,
1491,2015,3215,COSTA MERLATA,Campeggi,2 stelle,285,60,1.180,VIA DEI CEDRI   S.N.,,72017,74012,OSTUNI,Brindisi,40.775638,17.64295800000002,0831 304004 / 332093,08311880138,,info@costamerlata.com,01/04/2015-30/09/2015,Ristorante-Bar-Punto ristoro-Reception 24h-Parcheggio Coperto / Scoperto-Quotidiani,Nessuno,adulti (8-13)#case-mobili (150-220)#piazzola-prezzo (10-15)#ragazzi (8-13)#supplemento-accesso-visitatori (7-13)#supplemento-allaccio-rete-fognaria (5-10)#supplemento-allaccio-rete-idrica (5-10)#supplemento-bus (15-20)#supplemento-bus-rimorchio (20-20)#supplemento-pozzetto-scarico (5-15)#supplemento-seconda-auto (2-3)#supplemento-seconda-moto (2-3)#ua-bilocale (150-220),adulti (7-7)#case-mobili (50-100)#piazzola-prezzo (7-7)#ragazzi (7-7)#ua-bilocale (50-100),,,,,
33,2015,14406,A CASA DI GINA,Bed & breakfast,,2,1,5,C.DA CASE SPARSE - CHIESA NUOVA  1177/D,,70044,72035,POLIGNANO A MARE,Bari,,,3472612149 /3477233852,,www.acasadigina.com,esterderasmo@alice.it,28/03/2015-31/10/2015,Reception 24h-Cucina in uso comune-Sala Tv-Sala lettura-Parco / Giardino-Somministrazione bevande-Accesso animali piccola taglia,Tv,camera-doppia (60-70)#camera-tripla (80-100),camera-doppia (50-60)#camera-tripla (60-80),,,,,
34,2015,12402,A CASA DI GIORDY,Bed & breakfast,,3,3,9,VIA DEGLI OLEANDRI  12,,73030,75096,CASTRO,Lecce,,,0836/943099,,,acasadigiordy@libero.it,27/03/2015-08/11/2015#27/11/2015-31/12/2015,Reception 24h-Deposito bagagli-Bagno privato-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Frigobar-Riscaldamento,camera-tripla-bagno (80-100),camera-tripla-bagno (60-80),,,,,
35,2015,12299,A CASA DI JOY,Bed & breakfast,,3,3,9,VIA M. BELLISARIO  14,,73100,75035,LECCE,Lecce,40.3439846,18.138185199999953,3933371457,,http://www.acasadijoy.it,minacardone.bnb@gmail.com,01/01/2015-11/01/2015#08/02/2015-18/02/2015#09/03/2015-22/03/2015#01/04/2015-12/04/2015#19/04/2015-03/05/2015#14/05/2015-08/11/2015#04/12/2015-31/12/2015,Reception 24h-Bagno privato-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento centralizzato-Tv-Riscaldamento,camera-doppia-bagno (70-100)#camera-doppia-bagno-persona (35-50)#camera-quadrupla-bagno (80-160)#camera-quadrupla-bagno-persona (35-50)#camera-tripla-bagno (100-120)#camera-tripla-bagno-persona (35-50)#doppia-uso-singola (35-55),camera-doppia-bagno (40-75)#camera-doppia-bagno-persona (20-35)#camera-quadrupla-bagno (60-80)#camera-quadrupla-bagno-persona (20-35)#camera-tripla-bagno (70-90)#camera-tripla-bagno-persona (20-35),http://www.agenziapugliapromozione.it/portal/documents/ddl/935677/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/935677/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/935677/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/935677/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/935677/fileFoto5
36,2015,13372,A CASA DI LO',Bed & breakfast,,3,3,8,VIA N. SAURO  14,,73100,75035,LECCE,Lecce,40.35417741163897,18.178155309985414,3387838203,,www.casadilo.it,info@casadilo.it,01/01/2015-11/01/2015#16/03/2015-02/11/2015#05/12/2015-31/12/2015,Cucina in uso comune-Bagno privato,,camera-doppia-bagno (50-100)#camera-doppia-bagno-persona (30-60)#camera-quadrupla-bagno (70-130),camera-doppia-bagno (40-60)#camera-doppia-bagno-persona (20-40)#camera-quadrupla-bagno (60-80),http://www.agenziapugliapromozione.it/portal/documents/ddl/375985/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/375985/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/375985/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/375985/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/375985/fileFoto5
